date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:15:46	53757/53757	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html	(from )
02:15:47	110/110	---M-Z	200	added ('OK')	text/plain	etag:%221016708-1693955746;gz%22	https://weblearnbd.net/robots.txt		(from )
02:15:47	2311/2311	---M--	200	added ('OK')	image/png	etag:%22907-62e202b3-f2050434f5d84866;;;%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/img/logo/favicon.png	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/img/logo/favicon.png	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:47	193525/193525	---M-Z	200	added ('OK')	text/css	etag:%222f3f5-62e202b3-ab3fca6e2ea11061;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/bootstrap.min.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/bootstrap.min.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:47	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-62e202b3-e7f47f95071dbb7d;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/animate.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/animate.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:48	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-62e202b3-20db488dcb3315d5;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/swiper-bundle.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/swiper-bundle.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:48	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-62e202b3-ce9f2cc89f092359;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/slick.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/slick.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:49	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-62e202b3-7289d8cef3e57a3e;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/aos.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/aos.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:49	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-62e202b3-4f2be76fc328a845;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/magnific-popup.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/magnific-popup.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:50	465639/465639	---M-Z	200	added ('OK')	text/css	etag:%2271ae7-62e202b3-da40b86068403690;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/font-awesome-pro.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/font-awesome-pro.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:50	2053/2053	---M-Z	200	added ('OK')	text/css	etag:%22805-62e202b3-61438ba7095254a8;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/flaticon.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/flaticon.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:50	10603/10603	---M-Z	200	added ('OK')	text/css	etag:%22296b-62e202b3-87808581f16df15d;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/spacing.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/spacing.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:51	3359/3359	---M-Z	200	added ('OK')	text/css	etag:%22d1f-62e202b3-5ddf9b424ac501f9;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/nice-select.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/nice-select.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:51	3884/3884	---M-Z	200	added ('OK')	text/css	etag:%22f2c-62e202b3-524d88ca141e93df;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/meanmenu.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/meanmenu.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:52	181442/181442	---M-Z	200	added ('OK')	text/css	etag:%222c4c2-648eb06e-45bf4fc49a57b698;gz%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/style.css	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/css/style.css	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:52	6420/6420	---M--	200	added ('OK')	image/png	etag:%221914-62e202b3-10e9860418ff4595;;;%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/img/preloader.png	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/img/preloader.png	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:52	63934/63934	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/index.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/index.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:53	4108/4108	---M--	200	added ('OK')	image/png	etag:%22100c-62e202b3-e695225339dca5f8;;;%22	https://weblearnbd.net/tphtml/bioxlab/bioxlab/assets/img/logo/sidebar-logo.png	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/assets/img/logo/sidebar-logo.png	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:53	70523/70523	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-2.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/index-2.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:53	47960/47960	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:55%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/about.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/about.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:54	34909/34909	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/team-01.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/team-01.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:54	34115/34115	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/team-02.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/team-02.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:54	33398/33398	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/team-details.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/team-details.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:54	30173/30173	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/portfolio-details.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/portfolio-details.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:55	39073/39073	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/priceing-plan.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/priceing-plan.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:55	44027/44027	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/shop.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/shop.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:55	59630/59630	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/shop-details.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/shop-details.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:55	29280/29280	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/cart.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/cart.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:56	49330/49330	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/checkout.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/checkout.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:56	35087/35087	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/faq.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/faq.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:56	42172/42172	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/services-01.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/services-01.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:57	40442/40442	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/services-02.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/services-02.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:57	42634/42634	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/services-03.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/services-03.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:57	33157/33157	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/services-details.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/services-details.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:57	33937/33937	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/research.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/research.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
02:15:58	39467/39467	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2003:29:56%20GMT	https://weblearnbd.net/tphtml/bioxlab/bioxlab/blog.html	C:/Users/96279/Desktop/protone%202/weblearnbd.net/tphtml/bioxlab/bioxlab/blog.html	(from https://weblearnbd.net/tphtml/bioxlab/bioxlab/index-3.html)
